NO,PTN,KODE PRODI,NAMA PRODI,RATAAN,S.BAKU,MIN,MAX
362,"UPN ""VETERAN"" JAKARTA",3241092,GIZI,611.83,12.34,596.96,641.74
363,UNIVERSITAS NEGERI SEMARANG,3561223,TEKNIK ELEKTRO,608.06,13.1,596.89,652.25
364,UNIVERSITAS NEGERI SEMARANG,3561111,KIMIA,609,13.67,596.76,666.96
365,"UPN ""VETERAN"" YOGYAKARTA",3631105,AGRIBISNIS,611.79,12.58,596.64,646.74
366,UNIVERSITAS SEBELAS MARET,3531197,PENDIDIKAN KIMIA,612.71,11.24,596.62,634.22
367,"UPN ""VETERAN"" JAKARTA",3241084,KESEHATAN MASYARAKAT,612.84,11.83,596.61,641.32
368,UNIVERSITAS ANDALAS,1411226,PSIKOLOGI,616.27,14.77,596.49,657.89
369,UNIVERSITAS SEBELAS MARET,3531255,ILMU TANAH,613.79,17.52,596.42,672.96
370,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821287,DESAIN INTERIOR,611.9,11.74,596.42,637.27
371,UNIVERSITAS NEGERI SEMARANG,3561165,TEKNIK ARSITEKTUR,610.16,12.94,596.22,643.24
372,UNIVERSITAS ANDALAS,1411176,TEKNIK ELEKTRO,615.84,19.1,596.12,673.52
373,INSTITUT PERTANIAN BOGOR,3411145,KONSERVASI SUMBERDAYAHUTAN& EKOWISATA,618.23,24.71,595.85,718.75
374,UNIVERSITAS SUMATERA UTARA,1211104,FARMASI,622.31,25.52,595.77,716
375,UNIVERSITAS NEGERI SURABAYA,3831057,MATEMATIKA,611.58,12.91,595.74,646.89
376,UNIVERSITAS SUMATERA UTARA,1211247,TEKNOLOGI INFORMASI,626.11,26.62,595.73,690.98
377,UNIVERSITAS PENDIDIKAN INDONESIA,3341031,PENDIDIKAN BIOLOGI,610.3,14.75,595.7,665.66
378,"UPN ""VETERAN"" JAWA TIMUR",3851085,ARSITEKTUR,609.36,12.7,595.34,644.93
379,"UPN ""VETERAN"" JAWA TIMUR",3851062,TEKNIK INFORMATIKA,614.36,14.31,595.26,659.69
380,UNIVERSITAS JENDERAL SOEDIRMAN,3511123,KEPERAWATAN,611.65,16.02,595.1,670.08
381,UNIVERSITAS NEGERI JAKARTA,3231066,FISIKA,611.86,14.89,594.99,649.56
382,"UPN ""VETERAN"" YOGYAKARTA",3631113,METALURGI,611.01,17.34,594.88,668.95
383,UNIVERSITAS BRAWIJAYA,3721294,PENDIDIKAN DOKTER HEWAN,617.63,19.91,594.75,681.46
384,UNIVERSITAS ANDALAS,1411095,MATEMATIKA,615.04,19.11,594.74,681.64
385,UNIVERSITAS SEBELAS MARET,3531031,AGROTEKNOLOGI / AGROEKOTEKNOLOGI,613.36,17.12,594.68,678.88
386,UNIVERSITAS BRAWIJAYA,3721112,FISIKA,613.58,16.43,594.61,681.84
387,UNIVERSITAS HASANUDDIN,7111382,TEKNIK INFORMATIKA,623.59,24.04,594.56,683.05
388,UNIVERSITAS SRIWIJAYA,1711214,ARSITEKTUR,614.66,18.45,594.15,682.53
389,UNIVERSITAS SUMATERA UTARA,1211054,TEKNIK INDUSTRI,618.78,22.03,594.05,702.37
390,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821225,DESAIN PRODUK INDUSTRI,610.73,14.3,593.97,647.55
391,UNIVERSITAS LAMBUNG MANGKURAT,5311295,FARMASI,612.63,15.88,593.93,667.73
392,"UPN ""VETERAN"" YOGYAKARTA",3631144,TEKNIK GEOMATIKA,604.18,8.91,593.91,634.26
393,UNIVERSITAS SEBELAS MARET,3531201,PENDIDIKAN BIOLOGI,609.22,13.97,593.9,654.42
394,INSTITUT PERTANIAN BOGOR,3411393,MANAJEMEN SUMBERDAYA PERAIRAN,610.44,14.3,593.88,653.5
395,UNIVERSITAS JENDERAL SOEDIRMAN,3511243,TEKNIK INDUSTRI,612.09,14.19,593.75,657.26
396,INSTITUT PERTANIAN BOGOR,3411234,TEKNIK PERTANIAN DAN BIOSISTEM,613.21,17.24,593.7,694.04
397,UNIVERSITAS NEGERI YOGYAKARTA,3621165,PENDIDIKAN IPA,608.98,13.01,593.56,636.04
398,UNIVERSITAS NEGERI MALANG,3731137,KIMIA,605.77,12.78,593.55,675.2
399,UNIVERSITAS JENDERAL SOEDIRMAN,3511146,TEKNIK GEOLOGI,609.49,16.53,593.47,669.21
400,UNIVERSITAS UDAYANA,6111037,TEKNIK ARSITEKTUR,609.86,15.04,593.47,669.03
401,UNIVERSITAS NEGERI YOGYAKARTA,3621157,PENDIDIKAN TEKNIK INFORMATIKA,608.62,12.41,593.32,631.8
402,INSTITUT PERTANIAN BOGOR,3411412,TEKNOLOGI & MANAJEMEN PERIKANAN TANGKAP,611.99,13.62,593.3,650.53
403,INSTITUT PERTANIAN BOGOR,3411385,PROTEKSI TANAMAN,613.49,20.74,593.28,670.5
404,UNIVERSITAS NEGERI JAKARTA,3231082,BIOLOGI,607.92,14.3,593.2,647.17
405,UNIVERSITAS SEBELAS MARET,3531313,ILMU LINGKUNGAN,604.91,10.78,592.99,636.79
406,UNIVERSITAS ANDALAS,1411137,TEKNIK MESIN,612.45,17.09,592.98,653.93
407,UNIVERSITAS NEGERI SEMARANG,3561231,GIZI,608.74,13.11,592.98,649.18
408,UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,3651067,TEKNIK INDUSTRI,610.7,15.78,592.83,654.29
409,UNIVERSITAS ANDALAS,1411273,GIZI,606.65,15.63,592.81,652.76
410,UNIVERSITAS DIPONEGORO,3551147,ILMU KELAUTAN,611.37,19.45,592.73,700.22
411,UNIVERSITAS NEGERI YOGYAKARTA,3621432,TEKNIK ELEKTRO,603.73,10.26,592.48,629.11
412,UNIVERSITAS PADJADJARAN,3331156,TEKNIK PERTANIAN,609.93,14.9,592.44,654.2
413,UNIVERSITAS ISLAM NEGERI MALANG,3741074,FARMASI,613.56,16.1,592.29,655.24
414,UNIVERSITAS BRAWIJAYA,3721321,KEBIDANAN,612.04,15.93,592.17,644.26
415,INSTITUT PERTANIAN BOGOR,3411466,ILMU KELUARGA DAN KONSUMEN,610.1,20.07,592.1,694.24
416,UNIVERSITAS JENDERAL SOEDIRMAN,3511042,FISIKA,607.71,15.12,591.88,656.34
417,UNIVERSITAS DIPONEGORO,3551035,KEPERAWATAN,613.51,16.06,591.61,663.52
418,UNIVERSITAS NEGERI SEMARANG,3561246,SISTEM INFORMASI,602.64,9.27,591.47,621.27
419,"UPN ""VETERAN"" JAWA TIMUR",3851093,TEKNIK LINGKUNGAN,606.8,11.66,591.45,640.67
420,UNIVERSITAS TANJUNGPURA,5111215,FARMASI,610.24,16.47,591.26,656.97
421,INSTITUT PERTANIAN BOGOR,3411153,MANAJEMEN HUTAN,605.75,13.72,591.24,654.73
422,UNIVERSITAS SRIWIJAYA,1711036,TEKNIK KIMIA,614.56,17.55,591.23,664.63
423,"UPN ""VETERAN"" JAWA TIMUR",3851046,TEKNIK INDUSTRI,606.17,12.42,591.09,650.44
424,UNIVERSITAS SUMATERA UTARA,1211232,ILMU KOMPUTER,614.91,21.48,590.95,674.5
425,UNIVERSITAS BRAWIJAYA,3721271,AGRIBISNIS,607.85,14.98,590.9,702.94
426,UNIVERSITAS SEBELAS MARET,3531182,PENDIDIKAN FISIKA,603.93,10.12,590.86,628.66
427,UNIVERSITAS SRIWIJAYA,1711326,FARMASI,610.08,17.77,590.68,659.26
428,UNIVERSITAS ISLAM NEGERI JAKARTA,3221041,MATEMATIKA,605.29,12.9,590.56,652.03
429,UNIVERSITAS AIRLANGGA,3811076,FISIKA,604.43,10.09,590.54,629.14
430,UNIVERSITAS AIRLANGGA,3811061,BIOLOGI,615.27,26.34,590.48,726.74
431,"UPN ""VETERAN"" JAWA TIMUR",3851104,TEKNIK SIPIL,605.19,12.73,590.39,638.53
432,INSTITUT PERTANIAN BOGOR,3411281,NUTRISI DAN TEKNOLOGI PAKAN,612.14,21.29,590.26,692.1
433,UNIVERSITAS JENDERAL SOEDIRMAN,3511011,BIOLOGI,604.18,13.61,590.21,649.08
434,UNIVERSITAS PADJADJARAN,3331133,ILMU KELAUTAN,611.53,17.39,590.16,665.4
435,UNIVERSITAS NEGERI SURABAYA,3831011,PEND. MATEMATIKA,610.65,18.85,590.12,659.5
436,UNIVERSITAS DIPONEGORO,3551124,AKUAKULTUR,605.36,19.32,590.04,740.78
